InvoiceId,CustomerId,CustomerName,Amount,Status,InvoiceDate,DueDate
INV001,C001,ABC Ltd,5000,Pending,15-09-2026,30-09-2026
INV002,C002,XYZ Ltd,7500,Paid,14-09-2026,25-09-2026
INV003,C003,DEF Ltd,3200,Pending,13-09-2026,28-09-2026
INV004,C004,LMN Ltd,4500,Paid,12-09-2026,27-09-2026
INV005,C005,PQR Pvt Ltd,6800,Pending,11-09-2026,26-09-2026
INV006,C006,Sunrise Corp,9100,Paid,10-09-2026,24-09-2026
INV007,C007,Tech Solutions,4200,Pending,09-09-2026,23-09-2026
INV008,C008,Global Traders,3500,Paid,08-09-2026,22-09-2026
INV009,C009,Metro Services,7700,Pending,07-09-2026,21-09-2026
INV010,C010,Bright Industries,5600,,06-09-2026,20-09-2026
